,TranscriptionFlux,TranslationFlux
b2095,0.0,1.8900319052446314e-29
b2096,0.0,1.8900319052446314e-29
b2097,0.0,0.0
b2103,8.217790117131849e-11,2.772480101087253e-09
b2104,8.217790117131849e-11,0.0
b2114,5.067327635222503e-10,1.709591609678063e-08
b2128,0.0,0.0
b2129,0.0,0.0
b2130,0.0,0.0
b2131,0.0,0.0
b2132,0.0,1.7016059884903558e-29
b2133,-1.113743793635343e-30,-3.757497406907642e-29
b2134,0.0,0.0
b2140,8.697650054915823e-13,2.934373032137111e-11
b2143,0.0,0.0
b2146,0.0,0.0
b2147,0.0,0.0
b2148,0.0,0.0
b2149,0.0,0.0
b2150,0.0,0.0
b2153,5.9305351155186445e-08,2.0008165653071314e-06
b2154,0.0,0.0
b2155,0.0,0.0
b2156,0.0,0.0
b2162,0.0,0.0
b2167,0.0,0.0
b2168,0.0,0.0
b2169,0.0,0.0
b2170,0.0,0.0
b2174,0.0,0.0
b2183,5.485446207040391e-14,1.8506545236412034e-12
b2185,1.2835944124474525e-07,4.33053158532042e-06
b2189,1.0395416488666053e-07,
b2197,0.0,0.0
b2198,0.0,0.0
b2199,0.0,0.0
b2200,0.0,0.0
b2201,0.0,0.0
